utility,fairness,min_utility,objective,variance,greedy,training,reallocate,central_rewards,simple_obs,logging,SI_beta,learning_beta,fairness_type,tag,env_name,warm_start,past_discount,n_episode,max_steps,render,save_path,hidden_size,learning_rate,replay_buffer_size,model_update_freq,target_update_freq,model_save_freq,validation_freq,best_model_update_freq,GAMMA,model_loc,u_model_loc,f_model_loc,split,learn_fairness,learn_utility,multi_head,phased_training,phase_length,observation_space
92.38,-1.3706837088611379,15.82,76.558125,31.64375,False,True,False,False,True,True,0,0.5,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/Joint/0.5/1707345934,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
45.28,-6.443373961570455,1.08,7.66625,75.2275,False,True,False,False,False,True,0,0.5,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/Joint/0.5/1707346762,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
95.2,-5.856010223813314,7.92,67.34750000000001,139.2625,False,True,False,False,True,True,0,0.2,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/MultiHead/0.2/1707346657,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['relative_job', 'grid', 'relative_util']"
86.62,-0.6829543820782269,17.0,72.91375,13.70625,False,True,False,False,True,True,0,1.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/Joint/1.0/1707348259,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
91.34,-37.37980639861115,0.06,-80.31375000000001,858.26875,False,True,False,False,False,True,0,0.2,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/MultiHead/0.2/1707347279,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
63.4,-5.771322366354337,6.86,-7.77,71.17,False,True,False,False,False,True,0,1.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/Joint/1.0/1707349291,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
56.08,-0.6395761780752287,11.2,44.75,5.665,False,True,False,False,True,True,0,2.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/Joint/2.0/1707350585,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
92.62,-1.7721617701021208,15.14,72.108125,41.02375,False,True,False,False,True,True,0,0.5,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/MultiHead/0.5/1707349999,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['relative_job', 'grid', 'relative_util']"
21.98,-3.6212873770192626,0.14,-25.1175,23.54875,False,True,False,False,False,True,0,2.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/Joint/2.0/1707351822,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
69.78,-2.2522960256490587,8.5,51.139375,37.28125,False,True,False,False,False,True,0,0.5,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/MultiHead/0.5/1707350819,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
30.66,-0.9961239441027481,5.64,12.84125,3.56375,False,True,False,False,True,True,0,5.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/Joint/5.0/1707352921,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
88.72,-1.182775276113184,15.8,63.675,25.045,False,True,False,False,True,True,0,1.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/MultiHead/1.0/1707353352,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['relative_job', 'grid', 'relative_util']"
15.9,-1.6268128586876223,1.56,-9.60625,5.10125,False,True,False,False,False,True,0,5.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/Joint/5.0/1707354367,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
49.86,-4.653517333275505,8.04,-918.5025,96.83625,False,True,False,False,True,True,0,10.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/Joint/10.0/1707355253,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
66.8,-5.251588617990097,7.28,-32.5875,99.3875,False,True,False,False,False,True,0,1.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/MultiHead/1.0/1707354379,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
23.5,-1.514816861618957,2.6,-75.6125,9.91125,False,True,False,False,False,True,0,10.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/Joint/10.0/1707356904,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
49.36,-0.754415846545179,10.0,41.215,4.0725,False,True,False,False,True,True,0,2.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/MultiHead/2.0/1707356703,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['relative_job', 'grid', 'relative_util']"
54.18,-0.44143593816448556,11.54,-49.845,5.20125,False,True,False,False,True,True,0,20.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/Joint/20.0/1707357587,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
54.76,-5.247432629654324,6.12,-141.385,98.0725,False,True,False,False,False,True,0,2.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/MultiHead/2.0/1707357919,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
14.04,-4.767535800557145,0.06,-472.26,24.315,False,True,False,False,False,True,0,20.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/Joint/20.0/1707359439,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
15.72,-1.249132394471092,2.34,-497.28,10.26,False,True,False,False,True,True,0,50.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/Joint/50.0/1707367893,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
11.2,-1.0260443713407785,1.4,1.025,2.035,False,True,False,False,True,True,0,5.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/MultiHead/5.0/1707360031,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['relative_job', 'grid', 'relative_util']"
8.92,-1.152749404077563,0.68,-10.9425,3.9725,False,True,False,False,False,True,0,5.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/MultiHead/5.0/1707368555,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
8.54,-2.3059192642905932,0.02,-450.8975,9.18875,False,True,False,False,False,True,0,50.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/Joint/50.0/1707369727,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
1.76,-0.8129293984595252,0.0,-59.99,0.6175,False,True,False,False,True,True,0,100.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/Joint/100.0/1707370248,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
