system_utility,fairness,min_utility,objective,variance,greedy,training,reallocate,central_rewards,simple_obs,logging,env_name,env_name_mod,SI_beta,learning_beta,fairness_type,tag,warm_start,past_discount,n_episode,max_steps,render,save_path,hidden_size,learning_rate,replay_buffer_size,model_update_freq,target_update_freq,model_save_freq,validation_freq,best_model_update_freq,GAMMA,model_loc,u_model_loc,f_model_loc,split,learn_fairness,learn_utility,multi_head,phased_training,phase_length,observation_space
311.56,-58.27187631412832,0.1,274.68667999999997,1843.6659999999997,False,True,False,False,False,True,Matthew,WS5,0,0.02,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/MultiHead/0.02/1712107524,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
59.96,-0.1695473979254468,4.34,50.763999999999996,0.9196000000000001,False,True,False,False,False,True,Matthew,WS5,0,10.0,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/Joint/10.0/1712109448,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
84.38,-0.2872278334516156,6.2,60.702,2.3678,False,True,False,False,False,True,Matthew,WS5,0,10.0,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/Joint/10.0/1712110287,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
51.84,-0.2524597772303015,3.22,25.84,1.3,False,True,False,False,False,True,Matthew,WS5,0,20.0,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/Joint/20.0/1712112179,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
47.2,-0.09199681854504316,3.82,38.8,0.41999999999999993,False,True,False,False,False,True,Matthew,WS5,0,20.0,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/Joint/20.0/1712112855,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
378.28,-41.03981813750024,0.44,-7412.804,1558.2167999999997,False,True,False,False,False,True,Matthew,WS5,0,5.0,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/MultiHead/5.0/1712111117,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
329.98,-32.934437375024146,0.2,272.93955,1140.8090000000002,False,True,False,False,False,True,Matthew,WS5,0,0.05,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/MultiHead/0.05/1712111678,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
41.78,-0.10456897610929997,3.2,20.67,0.42219999999999996,False,True,False,False,False,True,Matthew,WS5,0,50.0,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/Joint/50.0/1712114788,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
32.76,-0.09132814834666135,2.52,17.94,0.29640000000000005,False,True,False,False,False,True,Matthew,WS5,0,50.0,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/Joint/50.0/1712115748,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
254.14,-28.547537828942318,1.12,178.24466,758.9534000000001,False,True,False,False,False,True,Matthew,WS5,0,0.1,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/MultiHead/0.1/1712116256,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
