learning_beta,split,multi_head,learn_utility,learn_fairness,system_utility,fairness,min_utility,objective,variance,greedy,training,reallocate,central_rewards,simple_obs,logging,env_name,env_name_mod,SI_beta,fairness_type,tag,warm_start,past_discount,n_episode,max_steps,render,save_path,hidden_size,learning_rate,replay_buffer_size,model_update_freq,target_update_freq,model_save_freq,validation_freq,best_model_update_freq,GAMMA,model_loc,u_model_loc,f_model_loc,phased_training,phase_length,observation_space
100000.0,True,False,False,True,52.72,-0.2798760619690155,0.0308,-5547.6,0.0560032,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/100000.0/3,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
100000.0,True,False,False,True,62.19999999999999,-0.016591704147926,0.14,-269.79999999999995,0.0033199999999999,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/100000.0/5,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
100000.0,True,False,False,True,71.60000000000001,-0.0455772113943028,0.06,-840.4,0.00912,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/100000.0/2,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
100000.0,True,False,False,True,60.0,0.0,0.1999999999999999,60.0,0.0,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/100000.0/4,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
100000.0,True,False,False,True,44.20000000000001,-0.1351324337831084,0.01,-2659.8,0.0270399999999999,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/100000.0/1,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
100000.0,True,False,False,True,45.80000000000001,-0.1105447276361819,0.02,-2166.199999999999,0.0221199999999999,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/100000.0/9,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
100000.0,True,False,False,True,68.40000000000003,-0.0791604197901049,0.0,-1515.6000000000004,0.0158399999999999,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/100000.0/10,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
100000.0,True,False,False,True,60.60000000000001,-0.0007996001999,0.1899999999999999,44.60000000000001,0.0001599999999999,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/100000.0/8,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
5000.0,True,False,False,True,49.80000000000001,-0.0345827086456771,0.0899999999999999,15.200000000000005,0.00692,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/5000.0/7,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
5000.0,True,False,False,True,48.40000000000002,-0.0663668165917041,0.04,-17.999999999999996,0.0132799999999999,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/5000.0/6,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
